,player_name,birth_year,birthplace,popularity
308,Ben Carnevale,1915,Raritan,7
309,Alexandr Petrenko,1976,Almaty,11
310,Michael Finley,1973,Melrose Park,26
311,Fuzzy Vandivier,1903,Franklin,8
312,Adrien Moerman,1988,Fontenay-aux-Roses,17
313,Josh Shipp,1986,Los Angeles,10
314,Isaiah Thomas,1989,Tacoma,31
315,Taj Gibson,1985,Brooklyn,28
316,Adam Morrison,1984,Glendive,28
317,Jeff McInnis,1974,Charlotte,9
318,Josh Smith,1985,College Park,31
319,Doc Rivers,1961,Chicago,35
320,Sasha Vujačić,1984,Maribor,32
321,Jack Molinas,1931,New York City,10
322,Nedu Onyeuku,1983,Lagos,5
323,Kevin Burleson,1979,Seattle,10
324,Jamal Shuler,1986,Jacksonville,10
325,Jerry Tarkanian,1930,Euclid,12
326,Stephon Marbury,1977,Brooklyn,31
327,Martynas Mažeika,1985,Klaipėda,9
328,Anke de Mondt,1979,Antwerp,7
329,Matej Mamić,1975,Tomislavgrad,9
330,Jovo Stanojević,1977,Sombor,11
331,Delonte West,1983,"Washington, D.C.",25
332,Adam Hess,1981,Warren,10
333,Abe Saperstein,1902,London,11
334,Ben Gordon,1983,London,29
335,Rick Majerus,1948,Sheboygan,7
336,Tomás Herrera Martínez,1950,Santiago de Cuba,15
337,Glen Davis,1986,Baton Rouge,29
338,Tanel Tein,1978,Tartu,11
339,Leon Douglas,1954,Leighton,8
340,George Gervin,1952,Detroit,32
341,Devereaux Peters,1989,Chicago,11
342,Rafael Cañizares,1950,Cuba,12
343,Djenebou Sissoko,1982,San,9
344,Aco Petrović,1959,Belgrade,8
345,Danny Schayes,1959,Syracuse,11
346,Šarūnas Marčiulionis,1964,Kaunas,36
347,Conrado Pérez,1950,Villa Clara Province,12
348,Miguel Calderón Gómez,1950,Havana,13
349,Antawn Jamison,1976,Shreveport,25
350,Franklin Standard,1949,Havana,11
351,Zaza Pachulia,1983,Tbilisi,38
352,Ruperto Herrera Tabio,1949,Havana,13
353,Kyrie Irving,1992,Melbourne,53
354,Cody Toppert,1983,Albuquerque,7
355,Felipe Reyes,1980,Córdoba,30
356,Juan Domecq,1950,Cuba,12
357,Jason Kapono,1981,Long Beach,29
358,Luther Green,1946,New York City,8
359,İlkan Karaman,1990,Istanbul,11
360,Walt Frazier,1945,Atlanta,32
361,Rick Carlisle,1959,Ogdensburg,25
362,K'zell Wesson,1977,Portland,9
363,Miguel Álvarez Pozo,1949,Pinar del Río,12
364,Fotios Katsikaris,1967,Korydallos,13
365,Adam Harrington,1980,Bernardston,9
366,Murat Didin,1955,Istanbul,7
367,Alexey Shved,1988,Belgorod,36
368,Anton Ponkrashov,1986,Saint Petersburg,25
369,Rudy Mbemba,1987,,5
370,Lou Boudreau,1917,Harvey,12
371,Gerald Wallace,1982,Sylacauga,33
