,player_name,birth_year,birthplace,popularity
7677,Birkan Batuk,1990,Istanbul,9
7678,La'Tangela Atkinson,1984,South Carolina,6
7679,Arvydas Šikšnius,1987,Kretinga,5
7680,Ayşe Cora,1993,Kadıköy,9
7681,Kenny Miller,1967,Evergreen Park,7
7682,Avery Warley,1987,"Washington, D.C.",8
7683,Anthony Bennett,1993,Brampton,29
7684,Atoy Co,1951,Pasig,5
7685,Terry Crosby,1957,Toledo,6
7686,Aurimas Kieža,1982,Vilnius,6
7687,Awa Guèye,1978,Dakar,5
7688,Antonis Mantzaris,1986,Athens,5
7689,Anna Sjödin,1976,Vallentuna Municipality,6
7690,Cecilia Ferm,1975,Stockholm,5
7691,Bill Kennedy,1938,Philadelphia,6
7692,Arturo Guerrero,1948,León de Los Aldama,6
7693,Bill Guthridge,1937,Parsons,5
7694,Barry Sumpter,1965,Brooklyn,5
7695,Bojan Krivec,1987,Novo Mesto,5
7696,Bobby Smith,1937,Charleston,5
7697,Preston Pearson,1945,Freeport,5
7698,Angela Marino,1986,Auckland,11
7699,Artūras Valeika,1985,Vilnius,6
7700,Bob Myers,1975,Danville,9
7701,Anton Gaddefors,1989,Bromma city district,7
7702,Ante Mašić,1985,Tomislavgrad,6
7703,Behnam Yakhchali,1995,Shahr-e Kord,7
7704,Ariel Eslava,1979,Buenos Aires,5
7705,Berkay Candan,1993,Fatih,7
7706,Boris Dallo,1994,Nantes,9
7707,Astou Traoré,1981,M'Bour,8
7708,Angie Braziel,1976,Odessa,5
7709,Bo Ryan,1947,Chester,5
7710,Arthur Agee,1972,Chicago,5
7711,Brad Greenberg,1954,Plainview,6
7712,Andrej Lemanis,1969,Melbourne,8
7713,Bill Amis,1987,Oklahoma City,6
7714,Ben McDonald,1967,Baton Rouge,5
7715,Anthony Grant,1966,Miami,5
7716,Brad Stevens,1976,Indianapolis,20
7717,Brad Ness,1974,Perth,5
7718,Beatrice Bofia,1984,Bafia,5
7719,Aneka Kerr,1981,Rangiora,5
7720,Asghar Kardoust,1986,Rasht,5
7721,Asi Taulava,1973,Nuku'alofa,5
7722,Aïda Fall,1986,Les Pavillons-sous-Bois,7
7723,Berni Tamames,1973,Lleida,6
7724,Ben McLemore,1993,St. Louis,21
7725,Benjie Paras,1968,Manila,5
7726,Billy McCaffrey,1971,Allentown,6
7727,Austin Seferian-Jenkins,1992,Fox Island,5
7728,Antonis Christeas,1937,Greece,5
7729,Blaine Denning,1930,Fulton,6
7730,Artūras Masiulis,1980,Anykščiai,7
7731,Ayman Adais,1978,Amman,5
7732,Beth Mowins,1967,Syracuse,6
7733,Ashley Shields,1985,Memphis,7
7734,Ander García,1989,Bergara,5
7735,Andrew Wiggins,1995,Thornhill,32
7736,Barry Stevens,1963,Flint,5
7737,Andres Sõber,1956,Harku Rural Municipality,6
7738,Chen Yuefang,1963,,8
7739,Brad Loesing,1989,Cincinnati,7
7740,Bob Wood,1921,La Farge,6
7741,Ashley Paris,1987,San Jose,7
7742,Bora Paçun,1987,İzmir,6
7743,Berni Álvarez,1971,Reus,6
7744,Andre Dawkins,1991,Fairfax,10
7745,Bojan Radetić,1988,Banja Luka,5
7746,Beka Burjanadze,1994,Tbilisi,8
7747,Andre Rison,1967,Flint,5
7748,Ben Howland,1957,Lebanon,6
7749,Ben Madgen,1985,Williamstown,5
7750,Andronikos Gizogiannis,1991,Athens,5
7751,Don Anielak,1930,St. Louis,8
7752,Andreas Kanonidis,1991,Marousi,5
7753,He Jun,1969,Beijing,10
7754,Sylvester Norris,1957,Jackson,5
7755,Tausha Mills,1976,Dallas,6
7756,Teo Čizmić,1971,Split,5
7757,Slavko Kotnik,1962,Maribor,7
7758,Stan Patrick,1922,Chicago,6
7759,Stephanie White,1977,West Lebanon,7
7760,Stanley Burrell,1984,Fort Knox,6
7761,Terry Davis,1967,Danville,6
7762,Stevan Jelovac,1989,Novi Sad,18
7763,Terrell Bell,1973,Athens,6
7764,Sly Williams,1958,New Haven,6
7765,Stefan Stojkov,1938,Mikre,5
7766,Tatiana Kavvadia,1976,Athens,5
7767,Sydney Johnson,1974,Lansing,6
7768,Steve Lingenfelter,1958,Eau Claire,6
7769,Tat'jana Popova,1984,Moscow,5
7770,Skip Harlicka,1946,Trenton,6
7771,Steve Green,1953,Madison,7
7772,Ted Kitchel,1959,Howard County,8
7773,Suad Šehović,1987,Bijelo Polje,10
7774,Steve Hawes,1950,Seattle,7
7775,Tadeusz Blauth,1939,Warsaw,5
7776,Terrence Rencher,1973,The Bronx,8
7777,Terrel Castle,1972,Jeanerette,8
7778,Stanley Stutz,1920,Worcester,7
7779,"Steve ""Snapper"" Jones",1942,Alexandria,8
7780,Steve Malovic,1956,Cleveland,6
7781,Susanna Bonfiglio,1974,Savona,5
7782,Steve Rogers,1968,Montgomery,7
7783,Steve Vacendak,1944,Scranton,7
7784,Stano Kropilák,1955,Kremnica,11
7785,Steve Breheny,1954,Melbourne,5
7786,Stan Love,1949,Los Angeles,9
7787,Steve Courtin,1942,Philadelphia,5
7788,Steve Henson,1968,Junction City,7
7789,Skinny Johnson,1911,Oklahoma City,5
7790,Stewart Granger,1961,Montreal,8
7791,Sidney Hertzberg,1922,Brooklyn,6
7792,Stephen Howard,1970,Dallas,6
7793,Ted McClain,1946,Nashville,7
7794,Stanley Burrell,1984,Indianapolis,6
7795,Steve Chubin,1944,New York City,5
7796,Steve Kramer,1945,Sandy,5
7797,Stan Pietkiewicz,1956,Huntsville,5
7798,Steve Patterson,1948,Riverside,5
7799,Terry Dozier,1966,Baltimore,5
7800,Sreten Dragojlović,1938,Kraljevo,7
7801,Tasha Humphrey,1985,Gainesville,7
7802,Srđan Jovanović,1976,Belgrade,5
7803,T. J. Cummings,1981,Homewood,6
7804,Simone Edwards,1973,Kingston,7
7805,Tatsiana Likhtarovich,1988,Minsk,12
7806,Swede Halbrook,1933,Portland,6
7807,Sonny Dove,1945,Brooklyn,5
7808,Stalin Ortiz,1981,Buenaventura,5
7809,Svetlana Kuznetsova,1965,Moscow,7
7810,Sotiris Gioulekas,1979,Larissa,5
7811,Sylvia Crawley,1972,Steubenville,6
7812,Steve Harris,1963,Kansas City,6
7813,Takako Katō,1971,Yokohama,6
7814,Sofija Pekić,1953,Lovćenac,10
7815,Terrance Roberson,1976,Saginaw,5
7816,Stanley Brundy,1967,New Orleans,8
7817,Taqwa Pinero,1983,Red Bank,7
7818,Steffond Johnson,1962,Longview,6
7819,Stjepan Stazić,1978,Zagreb,6
7820,Terry Catledge,1963,Houston,7
7821,Ted Manakas,1951,Fort Lee,5
7822,Tamara Moore,1980,Minneapolis,7
7823,Spider Bennett,1943,Lakewood Township,7
7824,Sophia Witherspoon,1969,Fort Pierce,7
7825,Stojna Vangelovska,1965,Skopje,17
7826,Skip Thoren,1943,Rockford,7
7827,Sylvester Gray,1967,Millington,6
7828,Terrell Myers,1974,New Haven,6
7829,Simas Buterlevičius,1989,Vilnius,7
7830,Tanja Ćirov,1981,Bor,5
7831,Slobodan Gordić,1937,Čačak,7
7832,Steve Hamer,1973,Memphis,8
7833,Simone Berti,1985,Florence,6
7834,Tamika Williams,1980,Dayton,8
7835,Silvia Todeschini,1967,Milan,5
7836,Stefania Passaro,1963,Rapallo,5
7837,Silver Leppik,1983,Jõgeva County,6
7838,Summer Erb,1977,Lakewood,5
7839,Steve Hood,1968,Gilroy,6
7840,Stacey Dales,1979,Collingwood,8
7841,Tautvydas Lydeka,1983,Druskininkai,7
7842,Tellis Frank,1965,Gary,7
7843,Soner Şentürk,1986,Bakırköy,5
7844,Tamara Radočaj,1987,Vršac,15
7845,Tatiana Vidmer,1986,Moscow,7
7846,Stacey Thomas,1978,Flint,5
7847,Terry Driscoll,1947,Winthrop,7
7848,Simmie Hill,1946,Midland,5
7849,Stefano Attruia,1969,Trieste,5
7850,Siniša Kelečević,1970,Šibenik,5
7851,Stan Brown,1929,Philadelphia,6
7852,Tamicha Jackson,1978,Dallas,7
7853,Tyra White,1989,Kansas City,5
7854,Abdul Jeelani,1954,Bells,6
7855,Aaron Williams,1971,Evanston,6
7856,Waldemar Kozak,1948,Lublin,7
7857,Tássia Carcavalli,1992,São Paulo,7
7858,Wendell McKines,1988,Oakland,6
7859,Adam Hrycaniuk,1984,Myślibórz,10
7860,Xavier Silas,1988,Austin,8
7861,Willie Deane,1980,New York City,9
7862,Tuukka Kotti,1981,Forssa,7
7863,A. J. English,1967,Wilmington,8
7864,Johnny Egan,1939,Hartford,9
7865,Jim Nolan,1927,Macon,6
7866,Éric Beugnot,1955,Cliron,6
7867,Zoi Dimitrakou,1987,Thessaloniki,7
7868,Tuğçe Canıtez,1990,Konak,13
7869,Xane D'Almeida,1983,Paris,6
7870,Willie Redden,1960,Fort Pierce,5
7871,Vasilis Lipiridis,1967,Edessa,5
7872,Vesa Mäkäläinen,1986,Hyvinkää,5
7873,Valentin Bigote,1992,Grande-Synthe,5
7874,Chad Toppert,1985,Albuquerque,5
7875,Trenton Meacham,1985,Champaign,7
7876,Roland Étienne,1912,Rue,6
7877,Touty Gandega,1991,Paris,7
7878,Victoria Dunlap,1989,Nashville,7
7879,Zhang Hui,1959,Jiangsu,8
7880,Ukari Figgs,1977,Georgetown,6
7881,A. J. Abrams,1986,Sherman,6
7882,A. J. Guyton,1978,Peoria,7
7883,Valéry Demory,1963,Denain,6
7884,Will Yeguete,1991,Pessac,7
7885,Trevor Ruffin,1970,Buffalo,6
7886,Vicki Hall,1969,Indianapolis,6
7887,Giorgos Diamantopoulos,1980,Athens,6
7888,Jerry Nagel,1928,Chicago,5
7889,Achille Canna,1932,Gradisca d'Isonzo,6
7890,Aaron James,1952,New Orleans,6
7891,Roosevelt Bouie,1958,Kendall,5
7892,Zuzana Gudzaraidze,1979,Prague,5
7893,Altan Dinçer,1932,Istanbul,6
7894,William Gradit,1982,Strasbourg,5
7895,Valeria Berezhynska,1986,Mykolaiv,5
7896,Zoran Jovanović,1965,Belgrade,8
7897,Minas Gekos,1959,Istanbul,5
7898,Vincent Da Sylva,1973,Ziguinchor,5
7899,Valériane Ayayi,1994,Bordeaux,15
7900,Walter Costa,1973,Luanda,6
7901,Tyson Wheeler,1975,New Britain,6
7902,Themis Cholevas,1926,Athens,5
7903,Álvaro Teherán,1966,María La Baja,7
7904,Christos Myriounis,1971,Athens,5
7905,Ty Walker,1989,Wilmington,7
7906,Christos Tsekos,1966,Athens,6
7907,Sofia Kligkopoulou,1970,Athens,5
7908,Kostas Papadimas,1932,Athens,5
7909,Fred Lewis,1921,Brooklyn,7
7910,Jimmy Santos,1951,Metro Manila,6
7911,Christos Christodoulou,1961,Athens,5
7912,Prodromos Nikolaidis,1978,Kavala,6
7913,Victor Carvalho,1969,Luanda,5
7914,Adam Parada,1981,Alta Loma,7
7915,Ronald Steele,1986,Birmingham,6
7916,Xavier Corosine,1985,Fréjus,6
7917,Valérie Garnier,1965,Cholet,9
7918,Yannick Souvré,1969,Toulouse,7
7919,Šarūnas Vasiliauskas,1989,Kaunas,14
7920,Winston Crite,1965,Bakersfield,8
7921,Čavdar Kostov,1988,Sofia,6
7922,Geethu Anna Jose,1985,Kottayam,6
7923,Vincent Grier,1983,Charlotte,5
7924,Aryiris Papapetrou,1965,Aeginio,6
7925,Travon Bryant,1983,Cerritos,7
7926,William Njoku,1972,Accra,7
7927,Joey Marquez,1957,Mabalacat,6
7928,Tracy Reid,1976,Miami,7
7929,Victor Mirshauswka,1941,Cherni,9
7930,Ed Leede,1927,Queens,5
7931,Aaron Swinson,1971,Brunswick,6
7932,Alekos Spanoudakis,1928,Chania,7
7933,Mimis Stefanidis,1931,Athens,5
7934,Panagiotis Manias,1933,Athens,6
7935,Katerina Deli,1975,Athens,5
7936,Dimitra Kalentzou,1978,Athens,8
7937,Yannis Lambrou,1921,Karystos,5
7938,Adam Niemiec,1947,Milanówek,6
7939,Abdul Shamsid-Deen,1968,New York City,6
7940,Yannick Gagneur,1980,Paris,5
7941,Leo Prieto,1920,Philippines,6
7942,Nikos Milas,1928,Athens,6
7943,Aaron Johnson,1988,Chicago,6
7944,Christos Harissis,1976,Athens,7
7945,Cookie Belcher,1978,Mexico,5
7946,Vita Kuktienė,1980,Ukmergė,6
7947,Valentin Kubrakov,1972,Salsk,6
7948,Vaida Sipavičiūtė,1985,Kaunas,6
7949,Takis Taliadoros,1925,Thessaloniki,5
7950,Atalanti Maria Tasouli,1976,Colorado Springs,5
7951,Abraham Shneior,1928,Mandatory Palestine,5
7952,Yannis Milonas,1969,Trikala,5
7953,Tuomas Iisalo,1982,Helsinki,7
7954,Tony Barone,1946,Chicago,8
7955,Turhan Tezol,1932,Istanbul,6
7956,Tiffany Stansbury,1983,Philadelphia,5
7957,Timo Suviranta,1930,Helsinki,7
7958,Tim Pickett,1981,Daytona Beach,6
7959,Tim Young,1976,Santa Cruz,7
7960,Tom Barker,1955,Harlingen,7
7961,Trevor Wilson,1968,Los Angeles,7
7962,Vanja Plisnić,1980,Zenica,7
7963,Tom Riker,1950,Rockville Centre,5
7964,Titus Nicoară,1988,Oradea,5
7965,Timo Lampén,1934,Lahti,7
7966,Tyrone Brazelton,1986,Chicago,9
7967,Tom Patterson,1948,Midland,5
7968,Valerio Amoroso,1980,Cercola,5
7969,Tyrone Washington,1976,St. Louis,7
7970,Tom Tolbert,1965,Long Beach,6
7971,Uwe Brauer,1962,Leverkusen,5
7972,Venzo Vannini,1914,Bologna,5
7973,Uwe Sauer,1963,Karlsruhe,5
7974,Valentino Pellarini,1919,Koper,6
7975,Travis Williams,1969,Columbia,7
7976,Vernon Goodridge,1984,Bridgetown,6
7977,Tony Jackson,1942,Brooklyn,7
7978,Thomas Nordgren,1956,Solna Municipality,5
7979,Terry Thomas,1953,Detroit,5
7980,Tom Callahan,1921,Stamford,5
7981,Tom Stith,1939,Emporia,5
7982,Vanessa Nygaard,1975,Scottsdale,6
7983,Tom Ingelsby,1951,Philadelphia,6
7984,Vera Golubeva,1979,Yekaterinburg,5
7985,Thomas Hamilton,1975,Chicago,7
7986,Tullio Rochlitzer,1926,Zadar,6
7987,Tom Piotrowski,1960,West Chester,5
7988,Thomas Jordan,1968,Baltimore,8
7989,Tony Zeno,1957,New Orleans,5
7990,Nikola Rebić,1995,Belgrade,10
7991,Tom King,1924,Cincinnati,5
7992,Toomas Kandimaa,1975,Elva,6
7993,Tommy Byrnes,1923,Teaneck,6
7994,Tom Bender,1944,Westgate,6
7995,Tynesha Lewis,1979,Macclesfield,5
7996,Terry Teagle,1960,Broaddus,6
7997,Tracy Jackson,1959,Rockville,6
7998,Tony Simms,1959,Kingston,6
7999,Humberto Bernasconi,1910,Montevideo,5
8000,Vanessa Hayden,1982,Orlando,7
8001,Veronika Bortelová,1978,Prague,5
8002,Tito Maddox,1981,Compton,5
8003,Vedran Princ,1982,Mostar,5
8004,Tony Easley,1987,Auburn,5
8005,Tony Fuller,1958,Detroit,7
8006,Tom Kozelko,1951,Traverse City,6
8007,Tomás Bellas,1987,Madrid,9
8008,Todd Lichti,1967,Walnut Creek,9
8009,Tomer Steinhauer,1966,Tel Aviv,7
8010,Tom Izzo,1955,Iron Mountain,7
8011,Tom Hovasse,1967,Durango,8
8012,Tom Abernethy,1954,South Bend,9
8013,Tommy Kron,1943,Owensboro,5
8014,Tony Weeden,1982,Indianapolis,6
8015,Tom Sluby,1962,"Washington, D.C.",6
8016,Togo Palazzi,1932,Union City,7
8017,Vangelis Sklavos,1977,Athens,6
8018,Toomas Liivak,1970,Tartu,6
8019,Tijana Ajduković,1991,Bačka Topola,7
8020,Tim Bassett,1951,"Washington, D.C.",9
8021,Todd Mundt,1970,Iowa City,5
8022,Tom Marshall,1931,Mt. Juliet,6
8023,Vasil Manchenko,1931,Grenoble,6
8024,Trooper Washington,1944,Philadelphia,7
8025,Tom Workman,1944,Seattle,5
8026,Tom Copa,1964,Robbinsdale,7
8027,Luther Burden,1953,Haines City,12
8028,Travis Grant,1950,Clayton,7
8029,Toncho Nava,1948,Madrid,6
8030,Vanessa Gidden,1985,Kingston,5
8031,Tony Robertson,1956,Detroit,5
8032,Vera Ðurašković,1949,,8
8033,Toñín Casillas,1935,Humacao,5
8034,Tony Dawson,1967,Kinston,10
8035,Tom Owens,1949,The Bronx,7
8036,Toby Knight,1955,The Bronx,6
8037,Tony Bennett,1969,Green Bay,9
8038,Tye'sha Fluker,1984,Pasadena,6
8039,Vernon Hamilton,1984,Richmond,5
8040,Tom Kropp,1953,Grand Island,6
8041,Thales Monteiro,1925,Araraquara,5
8042,Tom Payne,1950,Louisville,5
8043,Tom Hoover,1941,"Washington, D.C.",6
8044,Uolevi Manninen,1937,Äänekoski,7
8045,Tyren Johnson,1988,Edgard,5
8046,Tonya Washington,1977,Opp,6
8047,Tora Suber,1974,Coatesville,5
8048,Thomas Schreiner,1987,St. Pölten,8
8049,Vernon Hatton,1936,Owingsville,7
8050,Umeki Webb,1975,Dallas,5
8051,Tom Garrick,1966,West Warwick,7
8052,Andrew Kennedy,1965,Kingston,6
8053,Adama Darboe,1986,Copenhagen,5
8054,Alpha Bangura,1980,Freetown,5
8055,Andre Collins,1982,Crisfield,5
8056,Andrzej Pstrokoński,1936,Warsaw,8
8057,Andre Wakefield,1955,Chicago,5
8058,Alton Ford,1981,Houston,7
8059,Adrian Williams-Strong,1977,Fresno,7
8060,Andrejs Šeļakovs,1988,Dobele,6
8061,Andrew Anderson,1945,Buffalo,5
8062,Aleksei Zozulin,1983,Almaty,7
8063,Aleksandar Mitrović,1990,Belgrade,6
8064,Aloysio Ramos Accioly Netto,1912,Rio de Janeiro,5
8065,Alvin Scott,1955,Cleveland,5
8066,Alex Scales,1978,Racine,7
8067,Adrian Banks,1986,Memphis,8
8068,Aleksandar Ugrinoski,1988,Skopje,5
8069,Andrzej Pluciński,1915,Kraków,6
8070,Aleksandar Džikić,1971,Belgrade,8
8071,Amedeo Tessitori,1994,Pisa,5
8072,Agostina Burani,1991,Lanús,5
8073,Slavko Duščak,1974,Ljubljana,6
8074,Amber Jacobs,1982,Elkhart,6
8075,Andrew Lang,1966,Pine Bluff,8
8076,Aivar Kuusmaa,1967,Tallinn,9
8077,Agnieszka Szott,1982,Gorzów Wielkopolski,5
8078,Andre Pärn,1977,Rapla,7
8079,Adonis Jordan,1970,Brooklyn,8
8080,Al Fleming,1954,Chicago,6
8081,Allen Leavell,1957,Muncie,7
8082,Adrienne Johnson,1974,Louisville,6
8083,Andrzej Pasiorowski,1946,Rawa Mazowiecka,5
8084,Andre Brown,1981,Chicago,7
8085,Alvin Sims,1974,Paris,5
8086,Adolfo Mazzini,1909,Macerata,6
8087,Andrea Crosariol,1984,Milan,9
8088,Adrian Caldwell,1966,Falls County,7
8089,Al Butler,1938,Rochester,6
8090,Ana Álvaro,1969,Cuenca,5
8091,Al McGuire,1928,Queens,7
8092,Adi Gordon,1966,Binyamina,8
8093,Andre McCarter,1953,Philadelphia,5
8094,Andrzej Pluta,1974,Ruda Śląska,6
8095,Alan Sawyer,1928,San Pedro,5
8096,Anda Eibele,1984,Riga,6
8097,Adis Bećiragić,1970,Sarajevo,5
8098,Al Smith,1947,Peoria,6
8099,Andrzej Kasprzak,1946,Lublin,5
8100,Al Carlson,1951,Oceanside,7
8101,Adilson Nascimento,1951,São Paulo,6
8102,Aliaksandra Tarasava,1988,Hrodna,11
8103,Adia Barnes,1977,San Diego,5
8104,Andre Moore,1964,Chicago,6
8105,Adrienne Goodson,1966,Bayonne,7
8106,Américo Montanarini,1917,São Paulo,5
8107,Al Hairston,1945,Beckley,6
8108,Carlisle Towery,1920,Kentucky,6
8109,Andrew Campbell,1956,Melbourne,5
8110,Adrian Autry,1972,Monroe,5
8111,Alonzo Bradley,1953,Utica,10
8112,Andrzej Perka,1941,Warsaw,6
8113,Adam Waczyński,1989,Toruń,16
8114,Alex Stivrins,1962,Lincoln,7
8115,Andrae Patterson,1975,Riverside,7
8116,Alberto Zamot,1942,Utuado,5
8117,Andrea Congreaves,1970,Epsom,5
8118,Andre Spencer,1964,Stockton,6
8119,Andrea Traini,1992,Loreto,5
8120,Alfredrick Hughes,1962,Chicago,6
8121,Al Henry,1949,Memphis,6
8122,Al Skinner,1952,Mount Vernon,9
8123,Alisa Burras,1975,Chicago,8
8124,Andris Blicavs,1954,Adelaide,5
8125,Andrzej Seweryn,1948,Kraków,7
8126,Adam Łapeta,1987,Jastarnia,8
8127,Ambrogio Bessi,1915,Umag,6
8128,Al Bianchi,1932,Long Island,12
8129,Albert Burditt,1972,Austin,6
8130,Al Brightman,1923,Eureka,8
8131,Al Guokas,1925,Philadelphia,5
8132,Albert King,1959,Brooklyn,10
8133,Alex Blackwell,1970,Toms River,6
8134,Al Wood,1958,Gray,7
8135,Alicia Thompson,1976,Big Lake,6
8136,Almir Nelson de Almeida,1923,Salvador,5
8137,Andrej Urlep,1957,Ljubljana,9
8138,Adas Juškevičius,1989,Kaunas,14
8139,Afroditi Kosma,1983,Piraeus,5
8140,Aleksa Popović,1987,Danilovgrad,8
8141,Ali Farokhmanesh,1988,Pullman,6
8142,Al Eberhard,1952,Cedar Rapids,6
8143,Alessandro Cittadini,1979,Perugia,6
8144,Al Masino,1928,Richmond,5
8145,Ancuța Stoenescu,1980,Timișoara,5
8146,Al Ferrari,1933,New York City,6
8147,Alex Jensen,1976,Pocatello,7
8148,Alex Holcombe,1969,Houston,6
8149,Alan Ogg,1967,Lancaster,6
8150,Alex Bradley,1959,Bradenton,6
8151,Mike Lewis,1946,Missoula,7
8152,Melvin Levett,1976,Cleveland,5
8153,Mickey Davis,1950,Rochester,5
8154,Mel Nowell,1939,Columbus,6
8155,Milton Setrini,1951,São Paulo,6
8156,Mike Jackson,1949,"Washington, D.C.",5
8157,Mike Williams,1963,Chicago,5
8158,Mauricio Aguiar,1983,Montevideo,6
8159,Mel Bennett,1955,Pittsburgh,8
8160,Mike Barr,1950,Canton,9
8161,Miljan Rakić,1986,Novi Sad,5
8162,Mel Riebe,1916,Cleveland,6
8163,Mikkel Larsen,1972,Copenhagen,5
8164,Megan Compain,1975,Whanganui,5
8165,Michelle Edwards,1966,Boston,9
8166,Michael Tucker,1954,Melbourne,5
8167,Miguel Miranda,1978,Porto,6
8168,Miha Lokar,1935,Celje,7
8169,Matt Steigenga,1970,Grand Rapids,8
8170,Miodrag Nikolić,1938,Belgrade,8
8171,Mike Lynn,1945,Covina,6
8172,Melvin Sanders,1981,Liberal,5
8173,Mike Morrison,1967,"Washington, D.C.",7
8174,Matt Aitch,1944,St. Louis,8
8175,Mel Gibson,1940,Rockingham,8
8176,Mehmet Ali Yalım,1929,Kars,6
8177,Mike Phillips,1956,Akron,9
8178,Michele Vitali,1991,Bologna,7
8179,Michael Lee,1986,Tallahassee,6
8180,Mery Andrade,1975,Cape Verde,5
8181,Michael McDonald,1969,Longview,6
8182,Mike Gale,1950,Philadelphia,10
8183,Miljana Bojović,1987,Mitrovica,9
8184,Michael Dunigan,1989,Chicago,6
8185,Mickey Coll,1951,San Juan,6
8186,Mel Payton,1926,Martinsville,5
8187,Mike Bratz,1955,Lompoc,10
8188,Michele Van Gorp,1977,Warren,8
8189,Michael J. Jenkins,1986,Kinston,11
8190,Mersada Bećirspahić,1957,Bihać,9
8191,Mike Farmer,1936,Oklahoma City,8
8192,Mehmet Yağmur,1987,İzmir,9
8193,Mfon Udoka,1976,Portland,7
8194,Mike Hall,1984,Chicago,8
8195,Miloš Borisov,1985,Bijelo Polje,6
8196,Mike Butler,1946,Memphis,7
8197,Maurice Carter,1976,Jackson,7
8198,Mel Hirsch,1921,,5
8199,Michaela Moua,1976,Helsinki,5
8200,Michael Wiley,1957,Long Beach,5
8201,Mike Wilson,1959,Memphis,5
8202,Mike Pratt,1948,Dayton,7
8203,Mike Harper,1957,Chicago,7
8204,Maurice Baker,1979,Madison,10
8205,Mike Anderson,1986,Virginia Beach,5
8206,Mike Dancis,1939,Riga,5
8207,Mauro Cerioni,1948,Castelvetro Piacentino,6
8208,Matt Santangelo,1977,Portland,5
8209,Mike Novak,1915,Chicago,6
8210,Miloslava Svobodová,1984,Bojnice,5
8211,Mickey McConnell,1989,Mesa,6
8212,Mike O'Koren,1958,Jersey City,8
8213,Mike McKay,1965,Adelaide,5
8214,Mike Gansey,1982,Parma,5
8215,Marty Friedman,1889,New York City,6
8216,Max Morris,1925,Norris City,7
8217,Mike Brittain,1963,Clearwater,7
8218,Michael Jackson,1964,Fairfax,6
8219,Mike Iuzzolino,1968,Altoona,7
8220,Michael Vicéns,1956,Ponce,5
8221,Mike Flynn,1953,Casablanca,6
8222,Mikiko Hagiwara,1970,Fukushima,8
8223,Mike Hansen,1970,Torrejón de Ardoz,5
8224,Michele Antonutti,1986,Udine,5
8225,Mike Pelliccia,1910,New York City,6
8226,Miguel González,1938,Valencia,9
8227,Mickey Johnson,1952,Chicago,8
8228,Miki Servera,1992,Palma de Mallorca,5
8229,Mike Ratliff,1951,New Albany,5
8230,Milo Komenich,1920,Gary,7
8231,Michael Hicks,1976,Panama City,5
8232,Michael Holton,1961,Seattle,6
8233,Mayr Facci,1927,São Paulo,5
8234,Mike Sanders,1960,Vidalia,6
8235,Mel Davis,1950,New York City,6
8236,Milivoje Božović,1985,Nikšić,5
8237,Michailas Anisimovas,1984,Kyiv,7
8238,Michael Efevberha,1984,Pomona,6
8239,Michał Chyliński,1986,Bydgoszcz,9
8240,Mike Gibson,1960,Williamsburg County,7
8241,Megan Mahoney,1983,Sturgis,9
8242,Mike Price,1948,Russellville,6
8243,Megan Duffy,1984,Kettering,7
8244,Mike Nahar,1971,Haarlem,5
8245,Mike Brown,1963,Newark,10
8246,Milica Jovanović,1989,Nikšić,8
8247,Mervin Jackson,1946,Savannah,8
8248,Mike Bloom,1915,New York City,6
8249,Milka Bjelica,1981,Belgrade,5
8250,Matt Mazza,1923,Niagara Falls,5
8251,Dominic Pressley,1964,"Washington, D.C.",5
8252,George Hauptfuhrer,1926,Abington Township,5
8253,Artem Butsky,1981,Poltava,9
8254,Joaquín Ruiz Lorente,1966,Zaragoza,8
8255,Braydon Hobbs,1989,New Albany,10
8256,Fernando Muscat,1911,Tobed,5
8257,Elisabeth Pavel,1990,Sibiu,6
8258,Giorgos Georgakis,1991,Athens,5
8259,Jordi Puig,1971,Girona,5
8260,Guy Edi,1988,Azaguié,8
8261,Erfan Ali Saeed,1983,Doha,5
8262,Greg Little,1989,Durham,6
8263,Arvo Jantunen,1929,Vyborg,5
8264,Guy Morgan,1960,Virginia Beach,6
8265,Filip Čović,1989,Belgrade,8
8266,Annabel Breuer,1992,Tübingen,9
8267,Gaston Essengué,1983,Yaoundé,6
8268,George Raveling,1936,"Washington, D.C.",5
8269,Evren Büker,1985,Bursa,5
8270,Francis Arnaiz,1951,Bacolod,6
8271,Gediminas Orelik,1990,Šiauliai,12
8272,Everard Bartlett,1986,Hastings,5
8273,Esra Şencebe,1981,Malatya,6
8274,Emanoil Răducanu,1929,Bucharest,5
8275,Elie Rustom,1987,Zouk Mikael,5
8276,Emil Rajković,1978,Skopje,9
8277,Curly Neal,1942,Greensboro,9
8278,Gyno Pomare,1986,Oceanside,6
8279,Olavi Lahtinen,1929,Helsinki,7
8280,Frank Kudelka,1925,San Francisco,6
8281,Gvidonas Markevičius,1969,Lithuania,10
8282,George Kok,1922,Grand Rapids,6
8283,Han Dejun,1989,Panjin,5
8284,Giorgos Papagiannis,1997,Marousi,18
8285,Gwen Jackson,1980,Alabama,5
8286,Gülşah Gümüşay,1989,Adana,6
8287,Gorgui Dieng,1990,Kébémer,24
8288,Marla Brumfield,1978,Aurora,6
8289,Fotios Lampropoulos,1983,Patras,7
8290,Greg McDermott,1964,Cascade,5
8291,Gary Wilkinson,1982,Salt Lake City,6
8292,Gary Harris,1994,Fishers,18
