,university_name,founding_year,city,popularity
339,Gardner–Webb University,1905.0,,5
340,Kaunas Priest Seminary,1864.0,,8
341,Okinawa International University,1959.0,,6
342,Cape Breton University,1951.0,,10
343,Graceland University,1895.0,,6
344,"Universidad Católica ""Nuestra Señora de la Asunción""",1959.0,,5
345,Vita-Salute San Raffaele University,1996.0,,7
346,Chungbuk National University,1951.0,,8
347,University of Dongola,1991.0,,5
348,University of Gafsa,2004.0,,5
349,Xi'an International Studies University,1952.0,,5
350,University of Health Sciences – Cambodia,1946.0,,5
351,National Agrarian University,1902.0,,5
352,Saint Petersburg State Institute of Technology,1828.0,,13
353,University of Macedonia,1948.0,,18
354,University of Sannio,1998.0,,6
355,Egerton University,1939.0,,8
356,National Conservatory of Azerbaijan,2001.0,,9
357,Krakow University of Economics,1924.0,,19
358,Coastal Carolina University,1954.0,,8
359,University of Mataram,1962.0,,8
360,Moscow State University,1755.0,,105
361,University of Bari,1925.0,,22
362,Bauman Moscow State Technical University,1830.0,,30
363,Tokyo Metropolitan University,2005.0,,10
364,Winston-Salem State University,1892.0,,5
365,International Information Technology University,2009.0,,6
366,Universidad Católica Santo Domingo,1982.0,,5
367,University of Nusa Cendana,1962.0,,7
368,Middle East University,2005.0,,6
369,East Africa University,1999.0,,7
370,Sir Syed University of Engineering and Technology,1993.0,,5
371,Grozny State Oil Technical University,1920.0,,7
372,New York Institute of Technology,1955.0,,15
373,Dallas Baptist University,1898.0,,6
374,University of Sharjah,1997.0,,8
375,Dniprovsky State Technical University,1920.0,,6
376,Universidad Autónoma de Asunción,1978.0,,7
377,East China University of Political Science and Law,1952.0,,8
378,Leyte Normal University,1921.0,,5
379,Mundiapolis University,2009.0,,6
380,Assam Agricultural University,1969.0,,9
381,University of Western Macedonia,2003.0,,10
382,Gazi University,1926.0,,17
383,National University of Callao,1966.0,,5
384,Tanta University,1972.0,,10
385,Bogdan Khmelnitsky Melitopol State Pedagogical University,1923.0,,7
386,Universidad Nacional del Litoral,1889.0,,5
387,University of East Anglia,1963.0,,37
388,Hawaii Pacific University,1965.0,,9
389,Kutztown University of Pennsylvania,1866.0,,13
390,University of Limerick,1972.0,,22
391,Military Institute of the Kazakh Ground Forces,1970.0,,5
392,University of Reading,1892.0,,31
393,Grodno State Medical University,1958.0,,8
394,Showa Academia Musicae,1930.0,,6
395,Altai State University,1973.0,,7
396,University of Gibraltar,2015.0,,11
397,Jordan Media Institute,2006.0,,7
398,University of Bangui,1969.0,,10
399,International Space University,1987.0,,17
400,Slippery Rock University of Pennsylvania,1889.0,,7
401,"Royal Holloway, University of London",1879.0,,20
402,Nalanda University,2010.0,,20
403,Illinois Institute of Technology,1940.0,,28
404,Luleå University of Technology,1971.0,,18
405,D. Mendeleev University of Chemical Technology of Russia,1880.0,,10
406,University of the Thai Chamber of Commerce,1940.0,,6
407,Mills College at Northeastern,1852.0,,10
408,Western Illinois University,1899.0,,10
409,National University of Kharkiv,1805.0,,36
410,University of New Orleans,1958.0,,11
411,University of Manila,1913.0,,5
412,University of the Salvador,1958.0,,7
413,Shota Rustaveli State University,1990.0,,15
414,Novosibirsk State Agrarian University,1936.0,,5
415,University of Science Malaysia,1969.0,,15
416,Mandalay University,1925.0,,13
417,Dublin City University,1975.0,,21
418,Athens University of Economics and Business,1920.0,,19
419,China Foreign Affairs University,1955.0,,7
420,Pushkin Leningrad State University,1992.0,,6
421,Kobe Institute Of Computing,2005.0,,5
422,National University of Samoa,1984.0,,11
423,Salisbury University,1925.0,,5
424,Guru Ghasidas University,1983.0,,6
425,Stavropol State University,1930.0,,6
426,Tokyo Denki University,1907.0,,5
427,Upper Iowa University,1857.0,,6
428,Philippine Women's University,1919.0,,5
429,Sumqayit State University,1961.0,,13
430,University of Akureyri,1987.0,,22
431,University of Warmia and Mazury in Olsztyn,1999.0,,14
432,Virginia Union University,1865.0,,7
433,University of Peshawar,1950.0,,11
434,China University of Petroleum (Beijing),1953.0,,6
435,Universidade Federal do Acre,1964.0,,8
436,Universitat Politècnica de Catalunya,1971.0,,21
437,Wheeling University,1954.0,,7
438,Miyagi University of Education,1965.0,,8
439,Coker College,1908.0,,5
440,Ningbo University of Technology,1983.0,,5
441,National Chi Nan University,1995.0,,7
442,Telšiai Bishop Vincentas Borisevičius Priest Seminary,1927.0,,8
443,University of the Incarnate Word,1881.0,,8
444,Donetsk National Medical University,1930.0,,7
